b1bp;b2bp;b3bp
5,13;5,06;4,89
5,13;4,9;4,87
5,06;4,89;4,62
4,9;4,87;4,57
4,89;4,62;4,46
4,87;4,57;4,35
4,62;4,46;4,22
4,57;4,35;4,08
4,46;4,22;3,97
4,35;4,08;3,96
4,22;3,97;3,92
4,08;3,96;3,88
3,97;3,92;3,87
3,96;3,88;3,98
3,92;3,87;3,87
3,88;3,98;3,91
3,87;3,87;3,89
3,98;3,91;3,77
3,87;3,89;3,74
3,91;3,77;3,61
3,89;3,74;3,55
3,77;3,61;3,64
3,74;3,55;3,58
3,61;3,64;3,55
3,55;3,58;3,72
3,64;3,55;3,73
3,58;3,72;3,74
3,55;3,73;3,86
3,72;3,74;3,95
3,73;3,86;3,92
3,74;3,95;3,99
3,86;3,92;4,14
3,95;3,99;4,22
3,92;4,14;4,35
3,99;4,22;4,43
4,14;4,35;4,43
4,22;4,43;4,61
4,35;4,43;4,68
4,43;4,61;4,55
4,43;4,68;4,58
4,61;4,55;4,59
4,68;4,58;4,59
4,55;4,59;4,54
4,58;4,59;4,5
4,59;4,54;4,44
4,59;4,5;4,48
4,54;4,44;4,34
4,5;4,48;4,36
4,44;4,34;4,28
4,48;4,36;4,36
4,34;4,28;4,15
4,36;4,36;4,18
4,28;4,15;4,24
4,36;4,18;4,09
4,15;4,24;4,06
4,18;4,09;4,01
4,24;4,06;3,84
