b1bpc;b2bpd;bp
2,3;0,15;5,13
2,3;0,1;5,13
2,35;0,1;5,06
2,39;0,13;4,9
2,49;0,13;4,89
2,54;0,15;4,87
2,36;0,11;4,62
2,36;0,11;4,57
2,32;0,1;4,46
2,45;0,11;4,35
2,4;0,11;4,22
2,37;0,1;4,08
2,26;0,08;3,97
2,27;0,08;3,96
2,34;0,09;3,92
2,46;0,1;3,88
2,58;0,09;3,87
2,64;0,1;3,98
2,54;0,12;3,87
2,63;0,13;3,91
2,71;0,12;3,89
2,7;0,11;3,77
2,86;0,13;3,74
2,75;0,12;3,61
2,55;0,11;3,55
2,67;0,11;3,64
2,82;0,12;3,58
2,79;0,13;3,55
2,93;0,14;3,72
3,08;0,14;3,73
2,83;0,15;3,74
3;0,17;3,86
3,12;0,18;3,95
3,17;0,16;3,92
3,36;0,15;3,99
3,52;0,19;4,14
3,46;0,14;4,22
3,55;0,19;4,35
3,54;0,27;4,43
3,54;0,31;4,43
3,62;0,44;4,61
3,73;0,48;4,68
3,36;0,42;4,55
3,43;0,46;4,58
3,59;0,46;4,59
3,67;0,48;4,59
3,81;1,42;4,54
3,77;1,38;4,5
3,57;1,41;4,44
3,63;1,36;4,48
3,75;1,5;4,34
3,89;1,77;4,36
4,1;1,85;4,28
4,23;1,82;4,36
3,78;1,92;4,15
3,94;0,88;4,18
3,91;0,82;4,24
3,83;0,82;4,09
3,92;0,84;4,06
3,79;0,68;4,01
3,27;0,65;3,84
