b1bpd;b2bpd
0,1;0,13
0,1;0,13
0,13;0,15
0,13;0,11
0,15;0,11
0,11;0,1
0,11;0,11
0,1;0,11
0,11;0,1
0,11;0,08
0,1;0,08
0,08;0,09
0,08;0,1
0,09;0,09
0,1;0,1
0,09;0,12
0,1;0,13
0,12;0,12
0,13;0,11
0,12;0,13
0,11;0,12
0,13;0,11
0,12;0,11
0,11;0,12
0,11;0,13
0,12;0,14
0,13;0,14
0,14;0,15
0,14;0,17
0,15;0,18
0,17;0,16
0,18;0,15
0,16;0,19
0,15;0,14
0,19;0,19
0,14;0,27
0,19;0,31
0,27;0,44
0,31;0,48
0,44;0,42
0,48;0,46
0,42;0,46
0,46;0,48
0,46;1,42
0,48;1,38
1,42;1,41
1,38;1,36
1,41;1,5
1,36;1,77
1,5;1,85
1,77;1,82
1,85;1,92
1,82;0,88
1,92;0,82
0,88;0,82
0,82;0,84
0,82;0,68
0,84;0,65
